ID,Age,Rotten Tomatoes
271,2,76
713,2,67
1331,1,59
1814,0,54
2030,0,51
2171,0,50
3959,2,67
4132,5,62
4187,0,60
4204,3,60
4513,0,50
4847,0,73
4864,3,72
5418,0,60
5485,1,59
5604,0,58
5614,3,58
5677,1,57
5763,1,56
7019,0,46
7251,2,44
7654,5,42
8616,1,96
8617,3,90
8618,3,90
8619,2,89
8620,2,89
8621,2,89
8622,3,89
8623,1,89
8624,1,88
8625,3,88
8626,1,88
8627,1,88
8628,2,88
8629,2,87
8630,1,87
8631,1,87
8632,2,87
8633,3,86
8634,1,86
8635,3,86
8636,3,86
8637,3,86
8638,3,86
8639,2,86
8640,3,86
8641,3,85
8642,3,85
8643,2,85
8644,1,85
8645,3,85
8646,3,85
8647,3,84
8648,3,84
8649,2,84
8650,2,84
8651,1,84
8652,1,84
8653,3,84
8654,2,83
8655,2,83
8656,2,83
8657,3,83
8658,2,83
8659,2,83
8660,2,83
8661,3,83
8662,2,83
8663,2,82
8664,2,82
8665,3,82
8666,3,82
8667,3,82
8668,3,82
8669,2,82
8670,3,82
8671,1,82
8672,3,82
8673,1,81
8674,3,81
8675,3,81
8676,3,81
8677,2,81
8678,3,81
8679,2,81
8680,2,81
8681,1,81
8682,3,81
8683,1,81
8684,3,80
8685,1,80
8686,2,80
8687,2,80
8688,1,80
8689,3,80
8690,2,80
8691,2,79
8692,3,79
8693,1,79
8694,2,79
8695,2,79
8696,2,79
8697,4,79
8698,2,79
8699,1,78
8700,3,78
8701,2,78
8702,3,78
8703,2,78
8704,2,78
8705,3,78
8706,1,78
8707,3,78
8708,2,78
8709,3,78
8710,2,77
8711,2,77
8712,3,77
8713,1,77
8714,1,77
8715,1,77
8716,3,77
8717,2,76
8718,3,76
8719,2,76
8720,1,76
8721,2,76
8722,1,76
8723,1,76
8724,1,76
8725,2,76
8726,1,76
8727,1,76
8728,1,76
8729,1,76
8730,2,76
8731,2,76
8732,2,75
8733,1,75
8734,1,75
8735,3,75
8736,2,75
8737,1,75
8738,1,75
8739,2,75
8740,1,75
8741,2,75
8742,1,75
8743,2,75
8744,2,75
8745,2,75
8746,2,75
8747,2,74
8748,3,74
8749,2,74
8750,2,74
8751,2,74
8752,2,74
8753,1,74
8754,1,74
8755,1,74
8756,3,74
8757,1,74
8758,2,74
8759,2,74
8760,2,73
8761,2,73
8762,1,73
8763,1,73
8764,1,73
8765,2,73
8766,2,73
8767,1,73
8768,2,73
8769,2,73
8770,1,72
8771,1,72
8772,2,72
8773,2,72
8774,3,72
8775,2,72
8776,2,72
8777,2,72
8778,1,72
8779,2,72
8780,2,72
8781,1,72
8782,2,72
8783,1,72
8784,2,72
8785,2,71
8786,3,71
8787,2,71
8788,2,71
8789,3,71
8790,1,71
8791,3,71
8792,1,71
8793,2,71
8794,2,71
8795,1,71
8796,1,71
8797,1,71
8798,2,70
8799,1,70
8800,1,70
8801,2,70
8802,2,70
8803,1,70
8804,2,70
8805,3,70
8806,1,70
8807,1,70
8808,2,70
8809,2,70
8810,1,70
8811,1,70
8812,1,70
8813,2,69
8814,2,69
8815,1,69
8816,2,69
8817,2,69
8818,1,69
8819,1,69
8820,0,69
8821,2,69
8822,1,69
8823,2,69
8824,1,69
8825,2,69
8826,2,69
8827,1,69
8828,1,68
8829,1,68
8830,1,68
8831,1,68
8832,1,68
8833,1,68
8834,2,68
8835,1,68
8836,1,68
8837,2,68
8838,2,68
8839,2,68
8840,2,68
8841,1,68
8842,1,68
8843,1,68
8844,2,67
8845,2,67
8846,1,67
8847,2,67
8848,1,67
8849,1,67
8850,1,67
8851,2,67
8852,2,67
8853,1,67
8854,1,67
8855,1,67
8856,1,67
8857,2,66
8858,1,66
8859,2,66
8860,1,66
8861,2,66
8862,2,66
8863,1,66
8864,2,66
8865,1,66
8866,1,66
8867,1,66
8868,2,66
8869,2,66
8870,1,66
8871,1,66
8872,2,66
8873,3,66
8874,2,66
8875,2,66
8876,2,66
8877,1,66
8878,2,66
8879,2,66
8880,1,66
8881,2,65
8882,2,65
8883,2,65
8884,1,65
8885,2,65
8886,2,65
8887,1,65
8888,1,65
8889,1,65
8890,2,65
8891,1,65
8892,1,65
8893,1,65
8894,1,65
8895,1,65
8896,1,65
8897,2,65
8898,2,65
8899,1,65
8900,1,64
8901,2,64
8902,1,64
8903,2,64
8904,1,64
8905,0,64
8906,1,64
8907,1,64
8908,1,64
8909,2,64
8910,1,64
8911,2,64
8912,2,64
8913,3,64
8914,2,64
8915,1,64
8916,2,64
8917,1,64
8918,1,64
8919,2,64
8920,1,64
8921,1,64
8922,1,64
8923,1,64
8924,2,63
8925,1,63
8926,1,63
8927,1,63
8928,1,63
8929,2,63
8930,1,63
8931,2,63
8932,1,63
8933,1,63
8934,2,63
8935,1,63
8936,2,63
8937,1,63
8938,1,63
8939,2,63
8940,1,63
8941,1,63
8942,1,63
8943,2,63
8944,1,63
8945,2,62
8946,2,62
8947,2,62
8948,1,62
8949,1,62
8950,1,62
8951,1,62
8952,2,62
8953,2,62
8954,1,62
8955,2,62
8956,1,62
8957,1,62
8958,2,62
8959,2,62
8960,2,62
8961,0,62
8962,1,62
8963,2,62
8964,2,62
8965,1,62
8966,1,62
8967,1,62
8968,2,62
8969,1,61
8970,2,61
8971,1,61
8972,2,61
8973,1,61
8974,1,61
8975,2,61
8976,2,61
8977,1,61
8978,1,61
8979,1,61
8980,1,61
8981,2,61
8982,1,61
8983,2,61
8984,1,61
8985,1,61
8986,5,61
8987,1,61
8988,2,61
8989,2,61
8990,1,61
8991,1,61
8992,2,61
8993,1,61
8994,1,61
8995,1,61
8996,2,61
8997,2,60
8998,2,60
8999,2,60
9000,1,60
9001,1,60
9002,2,60
9003,2,60
9004,1,60
9005,1,60
9006,1,60
9007,1,60
9008,2,60
9009,1,60
9010,2,60
9011,1,60
9012,2,60
9013,2,60
9014,3,60
9015,2,59
9016,1,59
9017,2,59
9018,1,59
9019,2,59
9020,2,59
9021,1,59
9022,0,59
9023,1,59
9024,1,59
9025,1,59
9026,1,59
9027,1,59
9028,1,59
9029,1,59
9030,1,59
9031,2,59
9032,1,59
9033,1,59
9034,1,59
9035,1,59
9036,0,59
9037,0,59
9038,1,58
9039,2,58
9040,2,58
9041,1,58
9042,1,58
9043,1,58
9044,2,58
9045,2,58
9046,0,58
9047,1,58
9048,1,58
9049,2,58
9050,1,58
9051,1,58
9052,1,58
9053,1,58
9054,1,58
9055,1,58
9056,2,58
9057,2,58
9058,2,58
9059,1,58
9060,2,58
9061,2,58
9062,1,58
9063,2,58
9064,1,57
9065,1,57
9066,1,57
9067,1,57
9068,2,57
9069,1,57
9070,1,57
9071,2,57
9072,1,57
9073,1,57
9074,2,57
9075,1,57
9076,2,57
9077,2,57
9078,1,57
9079,1,57
9080,1,57
9081,1,57
9082,0,57
9083,1,57
9084,1,57
9085,2,57
9086,2,57
9087,2,57
9088,1,57
9089,2,57
9090,1,57
9091,2,56
9092,1,56
9093,2,56
9094,0,56
9095,1,56
9096,1,56
9097,1,56
9098,2,56
9099,1,56
9100,2,56
9101,1,56
9102,2,56
9103,1,56
9104,1,56
9105,1,56
9106,1,56
9107,3,56
9108,2,56
9109,1,56
9110,2,56
9111,1,56
9112,2,56
9113,1,56
9114,0,56
9115,1,56
9116,0,56
9117,1,56
9118,1,56
9119,1,56
9120,2,56
9121,2,55
9122,1,55
9123,1,55
9124,2,55
9125,1,55
9126,2,55
9127,1,55
9128,2,55
9129,1,55
9130,1,55
9131,0,55
9132,1,55
9133,2,54
9134,0,54
9135,0,54
9136,1,54
9137,0,54
9138,1,54
9139,0,54
9140,0,54
9141,1,54
9142,1,54
9143,0,54
9144,0,54
9145,1,54
9146,1,54
9147,1,54
9148,1,54
9149,1,54
9150,0,54
9151,1,54
9152,1,54
9153,1,54
9154,2,54
9155,1,54
9156,1,54
9157,1,54
9158,2,54
9159,2,54
9160,1,54
9161,2,54
9162,2,53
9163,0,53
9164,1,53
9165,1,53
9166,1,53
9167,1,53
9168,2,53
9169,2,53
9170,0,53
9171,2,53
9172,1,53
9173,1,53
9174,0,53
9175,1,53
9176,0,53
9177,3,53
9178,3,53
9179,1,53
9180,1,53
9181,1,53
9182,1,52
9183,1,52
9184,1,52
9185,2,52
9186,2,52
9187,0,52
9188,0,52
9189,1,52
9190,1,52
9191,1,52
9192,0,52
9193,1,52
9194,0,52
9195,1,52
9196,0,52
9197,2,52
9198,1,52
9199,1,52
9200,0,52
9201,2,52
9202,0,52
9203,1,52
9204,1,52
9205,2,52
9206,1,52
9207,2,52
9208,1,52
9209,1,52
9210,1,52
9211,2,52
9212,2,51
9213,2,51
9214,1,51
9215,0,51
9216,0,51
9217,1,51
9218,0,51
9219,1,51
9220,0,51
9221,0,51
9222,2,51
9223,2,51
9224,2,51
9225,2,51
9226,1,51
9227,1,51
9228,1,51
9229,1,51
9230,1,51
9231,1,51
9232,0,51
9233,1,51
9234,0,51
9235,0,51
9236,2,51
9237,0,51
9238,2,51
9239,1,51
9240,0,51
9241,1,51
9242,1,50
9243,0,50
9244,2,50
9245,2,50
9246,1,50
9247,1,50
9248,1,50
9249,1,50
9250,0,50
9251,0,50
9252,0,50
9253,2,50
9254,0,50
9255,0,50
9256,0,50
9257,0,50
9258,1,49
9259,0,49
9260,0,49
9261,0,49
9262,0,49
9263,0,49
9264,0,49
9265,1,49
9266,0,49
9267,0,49
9268,0,49
9269,1,49
9270,0,49
9271,1,49
9272,2,49
9273,4,49
9274,0,49
9275,0,49
9276,0,49
9277,1,49
9278,0,49
9279,1,49
9280,0,49
9281,0,49
9282,2,49
9283,0,49
9284,0,49
9285,3,49
9286,0,48
9287,0,48
9288,1,48
9289,0,48
9290,0,48
9291,1,48
9292,0,48
9293,0,48
9294,0,48
9295,0,48
9296,3,48
9297,2,48
9298,0,48
9299,2,48
9300,0,48
9301,1,48
9302,1,48
9303,0,48
9304,0,48
9305,0,48
9306,1,48
9307,0,48
9308,1,48
9309,0,48
9310,2,48
9311,0,48
9312,0,48
9313,0,48
9314,1,48
9315,2,48
9316,1,48
9317,0,48
9318,3,47
9319,0,47
9320,2,47
9321,0,47
9322,0,47
9323,1,47
9324,1,47
9325,0,47
9326,0,47
9327,1,47
9328,0,47
