ID,Age,Rotten Tomatoes,Netflix,Disney+
1,5,98,1,0
2,2,97,1,0
3,2,95,1,0
4,2,94,1,0
5,5,94,1,0
6,3,94,1,0
7,3,93,1,0
8,3,92,1,0
9,4,92,1,0
10,5,92,1,0
11,5,92,1,0
12,5,92,1,0
13,5,92,1,0
14,5,91,1,0
15,1,91,1,0
16,5,91,1,0
17,5,90,1,0
18,4,90,1,0
19,5,90,1,0
20,2,90,1,0
21,5,90,1,0
22,5,89,1,0
23,3,89,1,0
24,5,89,1,0
25,5,89,1,0
26,4,89,1,0
27,5,89,1,0
28,5,89,1,0
29,5,89,1,0
30,3,89,1,0
31,2,89,1,0
32,5,89,1,0
33,5,89,1,0
34,5,88,1,0
35,5,88,1,0
36,0,88,1,0
37,5,88,1,0
38,3,88,1,0
39,2,88,1,0
40,5,87,1,0
41,0,87,1,0
42,5,87,1,0
43,5,87,1,0
44,5,87,1,0
45,1,87,1,0
46,1,87,1,0
47,4,87,1,0
48,5,87,1,0
49,4,87,1,0
50,5,87,1,0
51,5,87,1,0
52,5,87,1,0
53,3,87,1,0
54,3,86,1,0
55,5,86,1,0
56,5,86,1,0
57,3,86,1,0
58,0,86,1,0
59,1,86,1,0
60,5,86,1,0
61,5,86,1,0
62,5,86,1,0
63,4,86,1,0
64,2,86,1,0
65,3,85,1,0
66,0,85,1,0
67,1,85,1,0
68,5,85,1,0
69,4,85,1,0
70,5,85,1,0
71,3,85,1,0
72,5,85,1,0
73,5,84,1,0
74,5,84,1,0
75,3,84,1,0
76,3,84,1,0
77,5,84,1,0
78,5,84,1,0
79,5,84,1,0
80,3,84,1,0
81,3,84,1,0
82,2,84,1,0
83,2,84,1,0
84,1,84,1,0
85,5,84,1,0
86,5,84,1,0
87,5,84,1,0
88,2,84,1,0
89,0,84,1,0
90,5,84,1,0
91,5,84,1,0
92,5,84,1,0
93,0,84,1,0
94,5,83,1,0
95,0,83,1,0
96,5,83,1,0
97,5,83,1,0
98,4,83,1,0
99,5,83,1,0
100,5,83,1,0
101,3,83,1,0
102,5,83,1,0
103,3,83,1,0
104,5,83,1,0
105,5,83,1,0
106,1,83,1,0
107,3,83,1,0
108,2,83,1,0
109,2,83,1,0
110,5,83,1,0
111,5,83,1,0
112,5,82,1,0
113,5,82,1,0
114,3,82,1,0
115,0,82,1,0
116,3,82,1,0
117,3,82,1,0
118,3,82,1,0
119,2,82,1,0
120,5,82,1,0
121,5,82,1,0
122,2,82,1,0
123,0,82,1,0
124,0,82,1,0
125,5,82,1,0
126,5,82,1,0
127,5,82,1,0
128,0,82,1,0
129,5,82,1,0
130,5,81,1,0
131,0,81,1,0
132,0,81,1,0
133,5,81,1,0
134,2,81,1,0
135,5,81,1,0
136,5,81,1,0
137,5,81,1,0
138,4,81,1,0
139,5,81,1,0
140,5,81,1,0
141,0,81,1,0
142,0,81,1,0
143,5,81,1,0
144,5,81,1,0
145,5,81,1,0
146,4,81,1,0
147,1,81,1,0
148,3,80,1,0
149,5,80,1,0
150,0,80,1,0
151,0,80,1,0
152,2,80,1,0
153,2,80,1,0
154,5,80,1,0
155,5,80,1,0
156,3,80,1,0
157,5,80,1,0
158,5,80,1,0
159,3,80,1,0
160,0,80,1,0
161,2,80,1,0
162,3,80,1,0
163,0,80,1,0
164,0,80,1,0
165,2,80,1,0
166,2,80,1,0
167,2,80,1,0
168,3,80,1,0
169,3,79,1,0
170,5,79,1,0
171,3,79,1,0
172,5,79,1,0
173,5,79,1,0
174,2,79,1,0
175,3,79,1,0
176,5,79,1,0
177,5,79,1,0
178,0,79,1,0
179,2,79,1,0
180,5,79,1,0
181,0,79,1,0
182,3,79,1,0
183,0,79,1,0
184,5,79,1,0
185,5,79,1,0
186,3,79,1,0
187,0,79,1,0
188,2,79,1,0
189,5,79,1,0
190,5,79,1,0
191,5,79,1,0
192,0,79,1,0
193,4,79,1,0
194,0,78,1,0
195,3,78,1,0
196,2,78,1,0
197,5,78,1,0
198,5,78,1,0
199,3,78,1,0
200,3,78,1,0
201,3,78,1,0
202,0,78,1,0
203,0,78,1,0
204,3,78,1,0
205,3,78,1,0
206,3,78,1,0
207,0,78,1,0
208,5,78,1,0
209,0,78,1,0
210,3,78,1,0
211,0,78,1,0
212,3,78,1,0
213,0,78,1,0
214,5,78,1,0
215,2,78,1,0
216,3,78,1,0
217,5,78,1,0
218,5,77,1,0
219,5,77,1,0
220,4,77,1,0
221,5,77,1,0
222,5,77,1,0
223,0,77,1,0
224,3,77,1,0
225,5,77,1,0
226,5,77,1,0
227,2,77,1,0
228,4,77,1,0
229,5,77,1,0
230,0,77,1,0
231,0,77,1,0
232,3,77,1,0
233,3,77,1,0
234,5,77,1,0
235,3,77,1,0
236,4,77,1,0
237,2,77,1,0
238,0,77,1,0
239,0,77,1,0
240,0,77,1,0
241,3,77,1,0
242,5,77,1,0
243,5,77,1,0
244,3,76,1,0
245,5,76,1,0
246,2,76,1,0
247,4,76,1,0
248,5,76,1,0
249,3,76,1,0
250,0,76,1,0
251,5,76,1,0
252,3,76,1,0
253,3,76,1,0
254,0,76,1,0
255,5,76,1,0
256,5,76,1,0
257,3,76,1,0
258,5,76,1,0
259,5,76,1,0
260,3,76,1,0
261,5,76,1,0
262,0,76,1,0
263,5,76,1,0
264,3,76,1,0
265,3,76,1,0
266,0,76,1,0
267,5,76,1,0
268,0,76,1,0
269,0,76,1,0
270,5,76,1,0
271,2,76,1,1
272,3,76,1,0
273,5,76,1,0
274,3,76,1,0
275,3,76,1,0
276,3,76,1,0
277,2,76,1,0
278,5,76,1,0
279,5,76,1,0
280,3,75,1,0
281,5,75,1,0
282,3,75,1,0
283,0,75,1,0
284,0,75,1,0
285,1,75,1,0
286,5,75,1,0
287,5,75,1,0
288,3,75,1,0
289,3,75,1,0
290,5,75,1,0
291,0,75,1,0
292,4,75,1,0
293,0,75,1,0
294,0,75,1,0
295,5,75,1,0
296,3,75,1,0
297,4,75,1,0
298,5,75,1,0
299,5,75,1,0
300,3,75,1,0
301,5,75,1,0
302,5,75,1,0
303,2,75,1,0
304,5,75,1,0
305,5,75,1,0
306,5,75,1,0
307,2,75,1,0
308,5,75,1,0
309,3,75,1,0
310,5,75,1,0
311,5,75,1,0
312,5,75,1,0
313,0,75,1,0
314,5,75,1,0
315,5,75,1,0
316,4,75,1,0
317,5,75,1,0
318,3,75,1,0
319,5,74,1,0
320,3,74,1,0
321,5,74,1,0
322,5,74,1,0
323,5,74,1,0
324,3,74,1,0
325,0,74,1,0
326,5,74,1,0
327,2,74,1,0
328,5,74,1,0
329,4,74,1,0
330,3,74,1,0
331,3,74,1,0
332,5,74,1,0
333,3,74,1,0
334,2,74,1,0
335,5,74,1,0
336,0,74,1,0
337,5,74,1,0
338,5,74,1,0
339,3,74,1,0
340,5,74,1,0
341,5,74,1,0
342,5,74,1,0
343,5,74,1,0
344,5,74,1,0
345,5,74,1,0
346,5,74,1,0
347,5,74,1,0
348,5,74,1,0
349,5,74,1,0
350,5,74,1,0
351,5,74,1,0
352,5,74,1,0
353,5,74,1,0
354,2,74,1,0
355,3,74,1,0
356,4,73,1,0
357,5,73,1,0
