ID,Age,Rotten Tomatoes
1,5,98
2,2,97
3,2,95
4,2,94
5,5,94
6,3,94
7,3,93
8,3,92
9,4,92
10,5,92
11,5,92
12,5,92
13,5,92
14,5,91
15,1,91
16,5,91
17,5,90
18,4,90
19,5,90
20,2,90
21,5,90
22,5,89
23,3,89
24,5,89
25,5,89
26,4,89
27,5,89
28,5,89
29,5,89
30,3,89
31,2,89
32,5,89
33,5,89
34,5,88
35,5,88
36,0,88
37,5,88
38,3,88
39,2,88
40,5,87
41,0,87
42,5,87
43,5,87
44,5,87
45,1,87
46,1,87
47,4,87
48,5,87
49,4,87
50,5,87
51,5,87
52,5,87
53,3,87
54,3,86
55,5,86
56,5,86
57,3,86
58,0,86
59,1,86
60,5,86
61,5,86
62,5,86
63,4,86
64,2,86
65,3,85
66,0,85
67,1,85
68,5,85
69,4,85
70,5,85
71,3,85
72,5,85
73,5,84
74,5,84
75,3,84
76,3,84
77,5,84
78,5,84
79,5,84
80,3,84
81,3,84
82,2,84
83,2,84
84,1,84
85,5,84
86,5,84
87,5,84
88,2,84
89,0,84
90,5,84
91,5,84
92,5,84
93,0,84
94,5,83
95,0,83
96,5,83
97,5,83
98,4,83
99,5,83
100,5,83
101,3,83
102,5,83
103,3,83
104,5,83
105,5,83
106,1,83
107,3,83
108,2,83
109,2,83
110,5,83
111,5,83
112,5,82
113,5,82
114,3,82
115,0,82
116,3,82
117,3,82
118,3,82
119,2,82
120,5,82
121,5,82
122,2,82
123,0,82
124,0,82
125,5,82
126,5,82
127,5,82
128,0,82
129,5,82
130,5,81
131,0,81
132,0,81
133,5,81
134,2,81
135,5,81
136,5,81
137,5,81
138,4,81
139,5,81
140,5,81
141,0,81
142,0,81
143,5,81
144,5,81
145,5,81
146,4,81
147,1,81
148,3,80
149,5,80
150,0,80
151,0,80
152,2,80
153,2,80
154,5,80
155,5,80
156,3,80
157,5,80
158,5,80
159,3,80
160,0,80
161,2,80
162,3,80
163,0,80
164,0,80
165,2,80
166,2,80
167,2,80
168,3,80
169,3,79
170,5,79
171,3,79
172,5,79
173,5,79
174,2,79
175,3,79
176,5,79
177,5,79
178,0,79
179,2,79
180,5,79
181,0,79
182,3,79
183,0,79
184,5,79
185,5,79
186,3,79
187,0,79
188,2,79
189,5,79
190,5,79
191,5,79
192,0,79
193,4,79
194,0,78
195,3,78
196,2,78
197,5,78
198,5,78
199,3,78
200,3,78
201,3,78
202,0,78
203,0,78
204,3,78
205,3,78
206,3,78
207,0,78
208,5,78
209,0,78
210,3,78
211,0,78
212,3,78
213,0,78
214,5,78
215,2,78
216,3,78
217,5,78
218,5,77
219,5,77
220,4,77
221,5,77
222,5,77
223,0,77
224,3,77
225,5,77
226,5,77
227,2,77
228,4,77
229,5,77
230,0,77
231,0,77
232,3,77
233,3,77
234,5,77
235,3,77
236,4,77
237,2,77
238,0,77
239,0,77
240,0,77
241,3,77
242,5,77
243,5,77
244,3,76
245,5,76
246,2,76
247,4,76
248,5,76
249,3,76
250,0,76
251,5,76
252,3,76
253,3,76
254,0,76
255,5,76
256,5,76
257,3,76
258,5,76
259,5,76
260,3,76
261,5,76
262,0,76
263,5,76
264,3,76
265,3,76
266,0,76
267,5,76
268,0,76
269,0,76
270,5,76
271,2,76
272,3,76
273,5,76
274,3,76
275,3,76
276,3,76
277,2,76
278,5,76
279,5,76
280,3,75
281,5,75
282,3,75
283,0,75
284,0,75
285,1,75
286,5,75
287,5,75
288,3,75
289,3,75
290,5,75
291,0,75
292,4,75
293,0,75
294,0,75
295,5,75
296,3,75
297,4,75
298,5,75
299,5,75
300,3,75
301,5,75
302,5,75
303,2,75
304,5,75
305,5,75
306,5,75
307,2,75
308,5,75
309,3,75
310,5,75
311,5,75
312,5,75
313,0,75
314,5,75
315,5,75
316,4,75
317,5,75
318,3,75
319,5,74
320,3,74
321,5,74
322,5,74
323,5,74
324,3,74
325,0,74
326,5,74
327,2,74
328,5,74
329,4,74
330,3,74
331,3,74
332,5,74
333,3,74
334,2,74
335,5,74
336,0,74
337,5,74
338,5,74
339,3,74
340,5,74
341,5,74
342,5,74
343,5,74
344,5,74
345,5,74
346,5,74
347,5,74
348,5,74
349,5,74
350,5,74
351,5,74
352,5,74
353,5,74
354,2,74
355,3,74
356,4,73
357,5,73
358,5,73
359,1,73
